iter	Passed	Remaining
703	172836	72670
704	173209	72477
705	173584	72286
706	174023	72119
707	174398	71926
708	174855	71767
709	175293	71598
710	175660	71400
711	176032	71204
712	176486	71040
713	176973	70888
714	177371	70700
715	177836	70538
716	178309	70378
717	178707	70188
718	179124	70005
719	179553	69826
720	179945	69632
721	180313	69428
722	180733	69243
723	181137	69052
724	181551	68864
725	181996	68687
726	182387	68489
727	182824	68307
728	183225	68112
729	183549	67888
730	183972	67699
731	184413	67517
732	184809	67318
733	185255	67136
734	185728	66963
735	186173	66779
736	186627	66598
737	187184	66452
738	187739	66305
739	188267	66147
740	188509	65889
741	188772	65637
742	188997	65373
743	189249	65118
744	189450	64845
745	189663	64577
746	189899	64316
747	190443	64160
748	190898	63972
749	191340	63780
750	191796	63591
751	192200	63385
752	192555	63162
753	193261	63053
754	194111	62989
755	194918	62910
756	195814	62857
757	196690	62795
758	197688	62770
759	198323	62628
760	199070	62520
761	199309	62251
762	199512	61971
763	199992	61777
764	200285	61525
765	200517	61254
766	200739	60980
767	200947	60702
768	201682	60583
769	202283	60422
770	202911	60268
771	203466	60091
772	204067	59926
773	204737	59781
774	205350	59617
775	205944	59447
776	206707	59325
777	207477	59203
778	208324	59101
779	208684	58859
780	208940	58588
781	209228	58327
782	210117	58231
783	211029	58140
784	211854	58023
785	212543	57867
786	213224	57708
787	213959	57562
788	214834	57452
789	215549	57298
790	216330	57159
791	217113	57019
792	217811	56856
793	218653	56728
794	219464	56591
795	220293	56457
796	221075	56308
797	221743	56130
798	222701	56023
799	223428	55857
800	224241	55710
801	224916	55527
802	225609	55348
803	226293	55166
804	226944	54974
805	227713	54809
806	228342	54609
807	229041	54425
808	229728	54237
809	230488	54065
810	231289	53900
811	232055	53727
812	232798	53546
813	233458	53345
814	234296	53183
815	234974	52984
816	235795	52815
817	236539	52628
818	237263	52435
819	237938	52230
820	238922	52091
821	239744	51915
822	240436	51709
823	241110	51499
824	241725	51275
825	242527	51089
826	243288	50893
827	243990	50684
828	244625	50459
829	245273	50236
830	245948	50018
831	246779	49830
832	247591	49637
833	248311	49424
834	249078	49219
835	249765	48996
836	250468	48777
837	251087	48539
838	251775	48314
839	252557	48106
840	252974	47827
841	253603	47588
842	254194	47341
843	254862	47107
844	255560	46878
845	256059	46611
846	256301	46297
847	256537	45983
848	256732	45661
849	256949	45344
850	257188	45030
851	257391	44711
852	257598	44392
853	257830	44078
854	258031	43759
855	258248	43443
856	258460	43126
857	258718	42818
858	258987	42511
859	259329	42216
860	259582	41907
861	259845	41599
862	260047	41282
863	260269	40968
864	260509	40657
865	260723	40342
866	260944	40029
867	261142	39712
868	261372	39401
869	261601	39089
870	261835	38779
871	262091	38472
872	262333	38163
873	262573	37853
874	262832	37547
875	263070	37238
876	263303	36928
877	263546	36620
878	263789	36312
879	264030	36004
880	264225	35689
881	264464	35381
882	264680	35070
883	264896	34760
884	265154	34455
885	265379	34145
886	265596	33835
887	265825	33527
888	266043	33218
889	266337	32918
890	266576	32611
891	266799	32303
892	267076	32001
893	267301	31693
894	267518	31384
895	267786	31082
896	267999	30773
897	268258	30470
898	268457	30160
899	268651	29850
900	268912	29547
901	269072	29234
902	269327	28931
903	269630	28633
904	269856	28327
905	270169	28030
906	270443	27730
907	270664	27424
908	270890	27118
909	271102	26812
910	271357	26510
911	271591	26206
912	271853	25905
913	272102	25602
914	272304	25296
915	272494	24988
916	272719	24684
917	272960	24382
918	273217	24081
919	273434	23776
